influencer,location,latitude,longitude,datetime
valentinaferragni,"The Ritz-Carlton, Laguna Niguel",33.4907051,-117.7140739,2017-08-20T18:28:02.000Z
valentinaferragni,"Laguna Beach, California",33.5420888,-117.7834147,2017-08-21T18:19:28.000Z
valentinaferragni,Orange County California,33.7500378,-117.8704931,2017-08-22T06:34:31.000Z
valentinaferragni,In-N-Out Burger,37.6996265,-121.0676013,2017-08-23T06:42:35.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-08-24T21:26:59.000Z
valentinaferragni,Personal Trainer Muscle Beach,33.985408,118.472521,2017-08-23T15:42:24.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-08-25T01:51:57.000Z
valentinaferragni,Griffith Observatory,34.11821875,-118.300293321966,2017-08-25T18:27:28.000Z
valentinaferragni,Aeroporto di Milano Linate,45.44420495,9.27783292215851,2017-08-27T15:02:35.000Z
valentinaferragni,Ceresio 7 Pools & Restaurant,45.483648,9.180217,2017-09-03T17:12:41.000Z
valentinaferragni,"Kiruna, Sweden",67.8550724,20.2255482,2017-09-05T08:42:24.000Z
valentinaferragni,"Kiruna, Sweden",67.8550724,20.2255482,2017-09-04T18:15:52.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-09-03T20:13:58.000Z
valentinaferragni,Nutti Sámi Siida,67.846848,20.619761,2017-09-05T16:52:49.000Z
valentinaferragni,Stockholm Arlanda Airport,59.6467921,17.9370443341945,2017-09-07T13:56:36.000Z
valentinaferragni,ICEHOTEL,67.850936,20.595304,2017-09-06T18:26:51.000Z
valentinaferragni,Jukkasjärvi Hembygdsförening,67.850310,20.602301,2017-09-06T12:45:50.000Z
valentinaferragni,"New York, New York",40.7127281,-74.0060152,2017-09-08T17:17:54.000Z
valentinaferragni,Cafe Henrie,40.7425569,-73.953817,2017-09-09T11:57:31.000Z
valentinaferragni,"SoHo, Manhattan",40.72288,-73.9987505,2017-09-09T19:34:52.000Z
valentinaferragni,"SoHo, Manhattan",40.72288,-73.9987505,2017-09-10T06:00:50.000Z
valentinaferragni,"Statue Of Liberty, Liberty Island, New York City",40.6892532,-74.0445481714432,2017-09-11T05:20:32.000Z
valentinaferragni,"New York, New York",40.7127281,-74.0060152,2017-09-12T04:36:09.000Z
valentinaferragni,"SoHo, Manhattan",40.72288,-73.9987505,2017-09-12T14:23:28.000Z
valentinaferragni,"Times Square, New York City",40.7568162,-73.9860313157245,2017-09-13T20:54:58.000Z
valentinaferragni,"New York, New York",40.7127281,-74.0060152,2017-09-14T11:16:37.000Z
valentinaferragni,Top Of The Rock NYC,40.7590344,-73.9793952,2017-09-15T16:45:17.000Z
valentinaferragni,Houses of Parliament,51.4994252,-0.124447772794764,2017-09-18T18:11:29.000Z
valentinaferragni,"London, United Kingdom",51.5073219,-0.1276474,2017-09-19T13:21:05.000Z
valentinaferragni,"London, United Kingdom",51.5073219,-0.1276474,2017-09-20T11:13:21.000Z
valentinaferragni,Mazzolari,-32.986668,-68.8811944,2017-09-20T20:11:41.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-09-21T11:34:26.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-09-21T20:16:34.000Z
valentinaferragni,Four Seasons Hotel Milan,45.469414,9.195302,2017-09-22T16:38:41.000Z
valentinaferragni,"Ex Scalo Farini - via Valtellina 7, 20159 Milano, Italy",45.491044,9.180646,2017-09-22T20:16:17.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-09-24T11:34:39.000Z
valentinaferragni,"Paris, France",48.8566101,2.3514992,2017-09-26T13:20:22.000Z
valentinaferragni,Musée du Louvre,48.860823,2.338073,2017-09-26T18:23:29.000Z
valentinaferragni,Jardin des Tuileries,48.86366215,2.32683861305756,2017-09-27T10:56:00.000Z
valentinaferragni,"Paris, France",48.8566101,2.3514992,2017-09-27T18:18:06.000Z
valentinaferragni,Place Vendôme,48.867669,2.329486,2017-09-29T09:06:46.000Z
valentinaferragni,Disneyland Paris,48.8711359,2.77612651196751,2017-09-29T12:52:20.000Z
valentinaferragni,Disneyland Hotel,48.8701872,2.77937529114158,2017-09-29T16:31:51.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-10-01T19:30:06.000Z
valentinaferragni,Miscusi,45.4631886,9.205341,2017-10-02T18:30:03.000Z
valentinaferragni,Grand Hotel Tremezzo - Lake Como,45.984916,9.228429,2017-10-03T17:54:36.000Z
valentinaferragni,Grand Hotel Tremezzo - Lake Como,45.984916,9.228429,2017-10-04T10:55:05.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-04T19:53:48.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-05T10:56:57.000Z
valentinaferragni,Lake of Como,45.81082,9.086044,2017-10-05T17:07:01.000Z
valentinaferragni,Lake Como,45.9917589,9.26488103500571,2017-10-05T19:57:34.000Z
